避難收容處所名稱,縣市及鄉鎮市區,避難收容處所地址,經度,緯度,is_indoor,預計收容人數,最近AQI測站,測站縣市,最近AQI值,測站狀態,距離(km),風險等級
崇聖殿備用,高雄市大樹區,井腳路118號,120.4074,22.6757,True,200,鳳山,高雄市,150.0,對所有族群不健康,7.37,High Risk
高雄市立大灣國民中學,高雄市仁武區,仁雄路99號,120.341612,22.676023,True,500,仁武,高雄市,150.0,對所有族群不健康,1.72,High Risk
公館國民小學,臺東縣綠島鄉,公館98號,121.4848,22.6764,True,200,臺東,臺東縣,44.0,良好,35.4,Normal
高雄市左營區新民國民小學,高雄市左營區,自由三路478號,120.313158,22.676691,True,921,左營,高雄市,150.0,對所有族群不健康,2.09,High Risk
屏東市仁愛國小,屏東縣屏東市,仁愛路98號,120.4948,22.6767,True,1204,屏東,屏東縣,90.0,普通,0.8,Normal
屏東市忠孝國小,屏東縣屏東市,建豐路204號,120.5039,22.6769,True,650,屏東,屏東縣,90.0,普通,1.68,Normal
綠島鄉社會福利活動中心,臺東縣綠島鄉,柴口1鄰62號,121.4847,22.6769,True,60,臺東,臺東縣,44.0,良好,35.38,Normal
長興國小,屏東縣長治鄉,潭頭路50號,120.5261,22.6772,True,200,屏東,屏東縣,90.0,普通,3.93,Normal
菜公豐谷宮備用,高雄市左營區,菜公一路91號,120.3155,22.6774,True,50,仁武,高雄市,150.0,對所有族群不健康,2.18,High Risk
公館社區活動中心,臺東縣綠島鄉,公?5鄰1號,121.4807,22.6777,True,30,臺東,臺東縣,44.0,良好,34.96,Normal
屏東縣立大同高中,屏東縣屏東市,和平路429號,120.4777,22.678,True,1380,屏東,屏東縣,90.0,普通,1.19,Normal
崇文國中,屏東縣內埔鄉,昭勝路438號,120.6021,22.6786,True,120,屏東,屏東縣,90.0,普通,11.72,Normal
高雄市立左營國民中學,高雄市左營區,高雄市左營區曾子路281號,120.306724,22.679456,True,836,左營,高雄市,150.0,對所有族群不健康,1.51,High Risk
高雄市仁武區登發國民小學,高雄市仁武區,仁忠路191號,120.354051,22.679647,True,1815,仁武,高雄市,150.0,對所有族群不健康,2.43,High Risk
高雄市左營區新光國民小學,高雄市左營區,華夏路800號,120.304805,22.67983,True,200,左營,高雄市,150.0,對所有族群不健康,1.34,High Risk
屏東縣立明正國中,屏東縣屏東市,大連路70號,120.4976,22.6799,True,4113,屏東,屏東縣,90.0,普通,1.24,Normal
埤子頭鎮福廟,高雄市左營區,左營大路6巷81號3樓,120.289652,22.680335,True,30,左營,高雄市,150.0,對所有族群不健康,0.69,High Risk
屏東市勝利國小,屏東縣屏東市,蘭州街2號,120.4857,22.6807,True,1579,屏東,屏東縣,90.0,普通,0.88,Normal
屏東市瑞光國小,屏東縣屏東市,興豐路86號,120.5091,22.6808,True,1415,屏東,屏東縣,90.0,普通,2.33,Normal
高雄市立新莊高級中學,高雄市左營區,文慈路99號,120.3176,22.6812,True,3305,仁武,高雄市,150.0,對所有族群不健康,1.77,High Risk
啟明堂備用,高雄市左營區,蓮潭路36號,120.2923,22.682,True,100,左營,高雄市,150.0,對所有族群不健康,0.8,High Risk
舊城城隍廟,高雄市左營區,店仔頂路1號,120.290474,22.682196,True,30,左營,高雄市,150.0,對所有族群不健康,0.85,High Risk
左營元帝廟,高雄市左營區,左營大路87號,120.288158,22.682521,True,40,左營,高雄市,150.0,對所有族群不健康,0.98,High Risk
高雄市仁武區灣內國民小學,高雄市仁武區,仁心路31號,120.357281,22.683088,True,330,仁武,高雄市,150.0,對所有族群不健康,2.61,High Risk
高雄市左營區舊城國民小學,高雄市左營區,蓮潭路47號,120.293004,22.683177,True,582,左營,高雄市,150.0,對所有族群不健康,0.92,High Risk
高雄市左營區福山國民小學,高雄市左營區,高雄市左營區重愛路99號,120.317215,22.683573,True,1273,仁武,高雄市,150.0,對所有族群不健康,1.7,High Risk
屏東市崇蘭國小,屏東縣屏東市,廣東路1259號,120.477,22.6842,True,614,屏東,屏東縣,90.0,普通,1.68,Normal
護安寺,高雄市左營區,蓮潭路116號,120.2951,22.6853,True,100,左營,高雄市,150.0,對所有族群不健康,1.18,High Risk
左營揚善堂,高雄市左營區,?後街42巷2號,120.288708,22.685509,True,100,左營,高雄市,150.0,對所有族群不健康,1.26,High Risk
國立屏東高中,屏東縣屏東市,忠孝路231號,120.4888,22.6861,True,2470,屏東,屏東縣,90.0,普通,1.45,Normal
屏東市和平國小,屏東縣屏東市,華正路80號,120.5017,22.687,True,511,屏東,屏東縣,90.0,普通,2.09,Normal
天府宮,高雄市左營區,蓮潭路158號,120.296399,22.687113,True,30,左營,高雄市,150.0,對所有族群不健康,1.41,High Risk
黎明國小,屏東縣內埔鄉,西淇路177號,120.5969,22.6874,True,80,屏東,屏東縣,90.0,普通,11.28,Normal
太麻里鄉美和國民小學,臺東縣太麻里鄉,美和 90 號,121.044275,22.687685,True,100,臺東,臺東縣,44.0,良好,13.24,Normal
高雄市大樹區大樹國民小學,高雄市大樹區,中正一路249號,120.43459,22.687763,True,1091,屏東,屏東縣,90.0,普通,5.72,Normal
高雄市左營區明德國民小學,高雄市左營區,海富路2號,120.289355,22.688006,True,491,左營,高雄市,150.0,對所有族群不健康,1.51,High Risk
?後北極殿,高雄市左營區,海平路2號,120.291964,22.688899,True,30,左營,高雄市,150.0,對所有族群不健康,1.56,High Risk
高雄市仁武區八卦國民小學,高雄市仁武區,永仁街555號,120.333146,22.689043,True,1254,仁武,高雄市,150.0,對所有族群不健康,0.05,High Risk
左營區公所8樓大禮堂,高雄市左營區,左營大路479號8樓,120.29511,22.689882,True,20,左營,高雄市,150.0,對所有族群不健康,1.69,High Risk
涼山社區活動中心,屏東縣瑪家鄉,涼山巷20號,120.6369,22.6901,True,158,屏東,屏東縣,90.0,普通,15.39,Normal
高雄市左營區左營國民小學,高雄市左營區,高雄市左營區實踐路42號,120.293299,22.690488,True,745,左營,高雄市,150.0,對所有族群不健康,1.74,High Risk
高楠活動中心,高雄市仁武區,高楠四街58號,120.3242,22.6917,True,200,仁武,高雄市,150.0,對所有族群不健康,0.91,High Risk
屏東縣立至正國中,屏東縣屏東市,公裕街300號,120.4936,22.6917,True,1338,屏東,屏東縣,90.0,普通,2.15,Normal
知本金聯世紀酒店,臺東縣卑南鄉,龍泉路30號,121.019876,22.692402,True,30,臺東,臺東縣,44.0,良好,15.11,Normal
大樹區公所二樓會議室,高雄市大樹區,中興北路120號,120.4331,22.6933,True,30,屏東,屏東縣,90.0,普通,6.07,Normal
長治國中,屏東縣長治鄉,中興路578號,120.5437,22.6934,True,200,屏東,屏東縣,90.0,普通,6.14,Normal
高雄市立左營高級中學,高雄市左營區,海功路55號,120.296158,22.693416,True,200,左營,高雄市,150.0,對所有族群不健康,2.09,High Risk
德協國小,屏東縣長治鄉,中興路551號,120.5415,22.6941,True,200,屏東,屏東縣,90.0,普通,5.96,Normal
大社村辦公處含活動中心,屏東縣三地門鄉,和平路2段35號,120.637733,22.694157,True,200,屏東,屏東縣,90.0,普通,15.54,Normal
